SOFTWARE,LINK,TYPE,SUBTYPE,DESC
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201307.mbox/%3CCABbGW3ztjdJho6WCc4_FV-9VK_JJ2Hij1whsd5i4tdHEfsqAzQ@mail.gmail.com%3E,DIFFICULTY,SETTING KNOBS,QJM for federation
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201312.mbox/%3CCA+cBOOArdMJn2KWmqcy89MACnYVukHsUSMmsSx9mdzSeQ8Os9w@mail.gmail.com%3E,DIFFICULTY,SETTING KNOBS,Perfect configuration setting
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201303.mbox/%3CF1C81D39-9243-4065-8CEA-1876B08BAE6C@datameer.com%3E,DIFFICULTY,SETTING KNOBS,Socket does not have a channel
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200801.mbox/%3CA5A01492DDFB8040B5E0D81EDED565825F936B@SP-EXCHMBC.sp.corp.collab.net%3E,ERROR,DIAGNOSING ERRORS,Platform reliability with Hadoop
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201208.mbox/%3CCAKEkMX-ca44-FnHaXip=DBbYHqgg9JW+GPc38Cq4Gvt8keigYQ@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Problem running PI example in Hadoop 2.0.0
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201303.mbox/%3CCAAu_zM_5o0YT-g=DqtOodGUXNryd==SfLZd-nKqrMPZQaRMHGA@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,format NameNode after reboot
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201308.mbox/%3C51FAB4ED.1020008@nec-labs.com%3E,ERROR,DIAGNOSING ERRORS,incorrect staging area path in 2.0.5
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201202.mbox/%3C4F2FFE19.2080109@gmail.com%3E,ERROR,DIAGNOSING ERRORS,HDFS Files Seem to be Stored in the Wrong Location?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201308.mbox/%3C4FD323DAC825AA4882CB54C01B499C222E4622@EADC-E-MABPRD13.ad.gd-ais.com%3E,ERROR,DIAGNOSING ERRORS,HDFS Startup Failure due to dfs.namenode.rpc-address and Shared Edits Directory
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200910.mbox/%3CA7E7E084-09CA-4D62-81D2-C30F2C57059C@gmail.com%3E,ERROR,DIAGNOSING ERRORS,connection error in reduce task (using basic example grep)
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201210.mbox/%3C1350875984.40644.YahooMailNeo@web194704.mail.sg3.yahoo.com%3E,ERROR,DIAGNOSING ERRORS,Namenode shutting down while creating cluster
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201307.mbox/%3CBLU0-SMTP36714932AE52E72B27954797710@phx.gbl%3E,ERROR,DIAGNOSING ERRORS,a question about dfs.replication
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200809.mbox/%3C5FDD79D8731F4A4B87487A5A85327B820385EA3A9E@BLRKECMBX03.ad.infosys.com%3E,ERROR,DIAGNOSING ERRORS,Need help in hdfs configuration fully distributed way in Mac OSX...
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201207.mbox/%3CCAF1+Vs-ZMA-cG5C2SfpPATXwRC5syFWZn2uj98Rx1xtStksXVA@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,YARN Pi example job stuck at 0%(No MR tasks are started by ResourceManager)
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201312.mbox/%3CCABsujrLVyX4tAUgakjdkhwVspiGzSP-DW_+LhO9+jVF=GqyESA@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Job stuck in running state on Hadoop 2.2.0
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201309.mbox/%3CCAHH8OOehwmT0F7qAeEOfeD1mF+XHxwYkR=2ZqN7AT-629_m9RQ@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,ArrayIndexOutOfBoundsException occurs from MapTask
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201206.mbox/%3CCAGM+5B4Q790Sfdgka3inZp7XJJ+sNR3xWxmngAh=VUEpPHWvJw@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Single disk failure (with HDFS-457 applied) causes data node to die
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200908.mbox/%3C375c60f40908050002n3a110d66ua2672a40bb8ad866@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Some tasks fail to report status between the end of the map and the beginning of the merge
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201103.mbox/%3CC155E15D0707204885EB0BA11E54B1DF039BA7F8@XMBVAG72.northgrum.com%3E,ERROR,DIAGNOSING ERRORS,Problem running a Hadoop program with external libraries
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200610.mbox/%3C9FEBEA45-7C2A-4C59-B890-4C2F3522D03B@athena.com%3E,ERROR,DIAGNOSING ERRORS,OutOfMemory exception
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201203.mbox/%3Cop.wa79h3v8mrx7t6@localhost.localdomain%3E,ERROR,DIAGNOSING ERRORS,YARN applications not running
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201210.mbox/%3CCAMWNowH6az+SHesSrYn5zdcx5DsqX9Ra3a9XTbUi-xU53SXrEQ@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,final the dfs.replication and fsck
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201312.mbox/%3CCDA8376067BFD84EA2F9D679045D8DD8504C73C9@szxeml558-mbx.china.huawei.com%3E,ERROR,DIAGNOSING ERRORS,Problem viewing a job in hadoop v2 web UI
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200703.mbox/%3C460AA34E.6070608@criticalsoftware.com%3E,ERROR,DIAGNOSING ERRORS,roblem Getting Started With Hadoop
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201212.mbox/%3CEE06D986-DE04-402A-9897-5B35A0B3233C@guavus.com%3E,ERROR,DIAGNOSING ERRORS,Too many fetch-failures
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200906.mbox/%3C4A44B3AB.7070509@deri.org%3E,ERROR,DIAGNOSING ERRORS,Permissions needed to run RandomWriter ?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201309.mbox/%3CCACb3M7cRpcFE_kF0+QL5UN2=amiSsdJG6oNtRx8P4cJLtke+0Q@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,SNN not writing data fs.checkpoint.dir location
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201006.mbox/%3CAANLkTimCA4wmzIZirbxETjZopQt4bm5gNsrxw-hZe9L9@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Jotracker java.lang.NumberFormatException
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201207.mbox/%3CCAMBwUE7zeqRpp0e=G4j2Rsu3AJNuZED+odpJ1eKwnE1Rs382qA@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Using REST to get ApplicationMaster info
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201008.mbox/%3CAANLkTi=PZNfiJW4J9bMo6E4zLo0yKP4WijHhtGPF91kM@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Hadoop startup problem - directory name required
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200803.mbox/%3Ce6531330803102326nf324c2ap81326f39d95701be@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Namenode not a host port pair
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201308.mbox/%3C51FA7756.4030805@nec-labs.com%3E,ERROR,DIAGNOSING ERRORS,incorrect staging area path in 2.0.5
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200705.mbox/%3CC27A052C.425%25alakshman@facebook.com%3E,ERROR,DIAGNOSING ERRORS,Configuration setup
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201209.mbox/%3CSNT117-W237749726B81D125FC7A7ADA930@phx.gbl%3E,ERROR,DIAGNOSING ERRORS,Error in : hadoop fsck /
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201209.mbox/%3CCAAhHdxcCeSR-AZmU=9H9Phr=KAE7PJgBOBBFQNjTFP+Tr3tnVg@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,cannot run any job under security feature of Hadoop 1.0.3
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200904.mbox/%3C23024043.post@talk.nabble.com%3E,ERROR,DIAGNOSING ERRORS,Extending ClusterMapReduceTestCase
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201108.mbox/%3C5F165E2F-36C9-445E-99D2-9EF700655032@yahoo-inc.com%3E,ERROR,DIAGNOSING ERRORS,Starting datanode in secure mode
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200906.mbox/%3C873f8eb60906261325v745a3024s99c8791299999ec9@mail.gmail.com%3E,ERROR,DIAGNOSING ERRORS,Error in Cluster Startup: NameNode is not formatted
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201312.mbox/%3CCACeqxwStsmy6=4UXyDzswaDtqwAT8fX-5YuW3T+zLmnHE3R7jg@mail.gmail.com%3E,ERROR,FIXING ERRORS,issue about running example job use custom mapreduce var
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201205.mbox/%3CCAP8iz15YknMjEabrHcZmv98nFEXFNi_v4oL2UE_k4bd2c1NcHw@mail.gmail.com%3E,ERROR,FIXING ERRORS,dfs.replication factor for MR jobs
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201211.mbox/%3CCCB82CF1.11442%25peter.cogan@alcatel-lucent.com%3E,ERROR,FIXING ERRORS,Set the number of maps
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201305.mbox/%3CCAFWc0y0+PLVMV7aig5ZcesWr=huOeDg7P1phv+VzPSkgkb9TPw@mail.gmail.com%3E,ERROR,FIXING ERRORS,possible to change replication factor at file creation time (with copyFromLocal)?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200802.mbox/%3C47A26A63.70206@yahoo-inc.com%3E,ERROR,FIXING ERRORS,override slaves file location (hadoop-0.15.3)
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200808.mbox/%3Cec25226e0808261343t55da0284p66bf378e1cd1d335@mail.gmail.com%3E,ERROR,FIXING ERRORS,Errors when hadoop.tmp.dir is sent to multiple directories
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201210.mbox/%3CCAKjW-3LTdQZzo6CDPBCAV-3CAD+wcO9zLzcjK3+WNrQ2S4dW7w@mail.gmail.com%3E,ERROR,FIXING ERRORS,"When running Hadoop in pseudo-distributed mode, what directory should I use for hadoop.tmp.dir?"
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200709.mbox/%3C12494269.post@talk.nabble.com%3E,OTHER,VERIFICATION,Replication problem of HDFS
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201311.mbox/%3CCAHH8OOfgSzvKV3-F8FgWOBeXfqE8WXQbqgW0j1=9ce0aoTuBxg@mail.gmail.com%3E,OTHER,VERIFICATION,About conception and usage of Uber
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201211.mbox/%3CCAK+SngaRvCK5yLOqBi126ge9_+OJsJuxkS2e6mic+aeQ9HiT7g@mail.gmail.com%3E,OTHER,PRACTICES,Hadoop configs
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201308.mbox/%3CBLU162-W150F039777AFD6C330F1D6D04D0@phx.gbl%3E,OTHER,PRACTICES,running map tasks in remote node
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201306.mbox/%3CCAEqX17OwcdoTXU+i2c_s2w9Br8ExAz2ERGvyONe7KJrXDJKk9A@mail.gmail.com%3E,OTHER,PRACTICES,hadoop 2.0 client configuration
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201401.mbox/%3C8978C61A0021A142A5DC1755FD41C2798355284E@mail1.impetus.co.in%3E,OTHER,PRACTICES,Doubts: Deployment and Configuration of YARN cluster
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200707.mbox/%3Cffa328c00707150216l17c38167ub6a410dbaed516ef@mail.gmail.com%3E,OTHER,PRACTICES,Hadoop on different hardware
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201001.mbox/%3C3A16C99FF1F31B40A3DDB05BFDC7191A01EAECCB@EVSNTC01.ad.office.aol.com%3E,OTHER,LEARNING/TRAINING,Which config parameters are node-specific?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201110.mbox/%3CCAA_FVjcb4BmfKr-4_c3zeyvCNJJHZBtTOJqi7T7v-HqTBU1mag@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,ways to expand hadoop.tmp.dir capacity?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201303.mbox/%3CCACq8Ys1giKdb-S4_zi7B6d5LUFWZCxMQtrZFiiVFWZvBEK9cuA@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,"Need info on mapred.child.java.opts, mapred.map.child.java.opts and mapred.reduce.child.java.opts"
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200910.mbox/%3CE6BA649459CC4D6986AF51600D42CA66@docomo.docomogr.net%3E,OTHER,LEARNING/TRAINING,A question on dfs.safemode.threshold.pct
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201005.mbox/%3C117423.74339.qm@web45109.mail.sp1.yahoo.com%3E,OTHER,LEARNING/TRAINING,dfs.name.dir capacity for namenode backup?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201103.mbox/%3CAANLkTi=v-Q3TOfVSkZ9WuQxxHpEVpn5W_FMdqJ-=d-Ur@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,Replication Factor in HDFS
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200902.mbox/%3C263ebf9d0902031535r43db5059od9f165f806226167@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,Reducing HDFS Storage Space
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201307.mbox/%3C003301ce7a53$9fbab250$df3016f0$@aquratesolutions.com%3E,OTHER,LEARNING/TRAINING,hadoop datanode capacity issue
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201006.mbox/%3CAANLkTilactvH7SCgb3UlHJUAilyXyk2WpxE9M7AUhaZy@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,"dfs.data.dir and ""hadoop namenode -format"""
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201011.mbox/%3CAANLkTikRvzo8rtDvzH1THhwh4VDHXfaJHrUzfEFjgEsS@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,Some basic questions on replication
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200908.mbox/%3C3b1311780908190721g3814f4dft9e00e9edce1eb86b@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,How does hadoop deal with hadoop-site.xml?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201211.mbox/%3CBD42F346AE90F544A731516A805D1B8AD87D02@SMAIL1.prd.mpac.ca%3E,OTHER,LEARNING/TRAINING,block-size vs split-size
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201312.mbox/%3C53DC189E5FAEFA43BFA1BC02431031DB73FF0F1537@WECTMLBOX.winbond.com.tw%3E,OTHER,LEARNING/TRAINING,"about hadoop-2.2.0 ""mapred.child.java.opts"""
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201202.mbox/%3CCALR_EGKpeX9gokBuhckW1yy=-Tm8eGjh75-7yeHh+waYyB--wQ@mail.gmail.com%3E,OTHER,LEARNING/TRAINING,memory of mappers and reducers
